0,id,latitude,longitude,timestamp
1,425787,-23.551602777777774,-46.92793333333334,2017-10-07 07:43:14
2,97467,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
3,1011020,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
4,824560,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
5,270887,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
6,1022825,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
7,973231,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
8,1056029,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
9,939874,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
10,673063,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
11,109087,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
12,849274,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
13,257331,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
14,81233,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
15,425787,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
16,185060,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
17,1022803,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
18,1014765,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
19,140337,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
20,583358,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
21,370970,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
22,88913,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
23,669608,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
24,228140,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
25,831519,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
26,335775,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
27,806386,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
28,704990,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
29,768357,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
30,179533,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
31,178454,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
32,672921,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
33,395649,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
34,1075636,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
35,293218,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
36,94331,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
37,830708,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
38,478217,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
39,147467,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
40,312440,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
41,25794,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
42,906163,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
43,421279,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
44,177415,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
45,328483,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
46,432446,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
47,514085,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
48,46194,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
49,1038956,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
50,91466,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
